CampaignName,ReportName,Platform,aircraftID,takeoffdatetime,zone
2011_AK_UAF,OIB_AK_20110515080000_UAF_Report.txt,DHC-3,N226UT,2011-05-15T16:00:00,UTC
2011_AK_UAF,OIB_AK_20110911080000_UAF_Report.txt,DHC-3,N226UT,2011-09-11T16:00:00,UTC
2011_AK_UAF,OIB_AK_20110910080000_UAF_Report.txt,DHC-3,N226UT,2011-09-10T16:00:00,UTC
2011_AK_UAF,OIB_AK_20110816080000_UAF_Report.txt,DHC-3,N226UT,2011-08-16T16:00:00,UTC
2011_AN_NASA,OIB_AN_20111024120337_NASA_Report.txt,DC-8,N817NA,2011-10-24T12:03:37,UTC
2011_AN_NASA,OIB_AN_20111018121900_NASA_Report.txt,DC-8,N817NA,2011-10-18T12:19:00,UTC
2011_AN_NASA,OIB_AN_20111030121239_NASA_Report.txt,DC-8,N817NA,2011-10-30T12:12:39,UTC
2011_AN_NASA,OIB_AN_20111014121024_NASA_Report.txt,DC-8,N817NA,2011-10-14T12:10:24,UTC
2011_AN_NASA,OIB_AN_20111026120201_NASA_Report.txt,DC-8,N817NA,2011-10-26T12:02:01,UTC
2011_AN_NASA,OIB_AN_20111012122000_NASA_Report.txt,DC-8,N817NA,2011-10-12T12:20:00,UTC
2011_AN_NASA,OIB_AN_20111012114200_NASA_Report.txt,G-V,N677F,2011-10-12T11:42:00,UTC
2011_AN_NASA,OIB_AN_20111119125746_NASA_Report.txt,DC-8,N817NA,2011-11-19T12:57:46,UTC
2011_AN_NASA,OIB_AN_20111103115943_NASA_Report.txt,DC-8,N817NA,2011-11-03T11:59:43,UTC
2011_AN_NASA,OIB_AN_20111113125154_NASA_Report.txt,DC-8,N817NA,2011-11-13T12:51:54,UTC
2011_AN_NASA,OIB_AN_20111026125200_NASA_Report.txt,G-V,N677F,2011-10-26T12:52:00,UTC
2011_AN_NASA,OIB_AN_20111023115959_NASA_Report.txt,DC-8,N817NA,2011-10-23T11:59:59,UTC
2011_AN_NASA,OIB_AN_20111023135500_NASA_Report.txt,G-V,N677F,2011-10-23T13:55:00,UTC
2011_AN_NASA,OIB_AN_20111029115946_NASA_Report.txt,DC-8,N817NA,2011-10-29T11:59:46,UTC
2011_AN_NASA,OIB_AN_20111017120055_NASA_Report.txt,DC-8,N817NA,2011-10-17T12:00:55,UTC
